년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2026년,01월,ACA,AC,캐나다항공,국제,미주,캐나다,YYZ,도착,정기,여객,21 ,3145 ,25 ,2124 ,80305 ,0 ,0 ,131334 
2026년,01월,ACA,AC,캐나다항공,국제,미주,캐나다,YYZ,출발,정기,여객,21 ,3168 ,17 ,2839 ,109940 ,0 ,3478 ,181713 
2026년,01월,AFR,AF,프랑스항공,국제,유럽,프랑스,CDG,도착,정기,여객,27 ,6023 ,18 ,176 ,260418 ,0 ,6273 ,116737 
2026년,01월,AFR,AF,프랑스항공,국제,유럽,프랑스,CDG,출발,정기,여객,27 ,7156 ,30 ,287 ,261464 ,0 ,12480 ,151475 
2026년,01월,AHK,LD,에어홍콩,국제,동북아,홍콩,HKG,도착,정기,화물,26 ,0 ,0 ,0 ,980350 ,62370 ,0 ,0 
2026년,01월,AHK,LD,에어홍콩,국제,동북아,홍콩,HKG,출발,정기,화물,26 ,0 ,0 ,0 ,1130137 ,0 ,0 ,0 
2026년,01월,AIC,AI,인도항공,국제,기타,인도,DEL,도착,정기,여객,22 ,4411 ,15 ,84 ,129216 ,0 ,0 ,101806 
2026년,01월,AIC,AI,인도항공,국제,기타,인도,DEL,출발,정기,여객,22 ,4622 ,23 ,63 ,240653 ,0 ,8127 ,116894 
2026년,01월,AIH,KJ,에어제타,국제,일본,일본,KIX,도착,정기,화물,23 ,0 ,0 ,0 ,226842 ,123874 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,일본,일본,KIX,출발,정기,화물,23 ,0 ,0 ,0 ,116781 ,68374 ,32290 ,0 
2026년,01월,AIH,KJ,에어제타,국제,일본,일본,NRT,도착,정기,화물,14 ,0 ,0 ,0 ,422872 ,139451 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,일본,일본,NRT,도착,부정기,화물,1 ,0 ,0 ,0 ,14408 ,11830 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,일본,일본,NRT,출발,정기,화물,14 ,0 ,0 ,0 ,343546 ,155005 ,47299 ,0 
2026년,01월,AIH,KJ,에어제타,국제,일본,일본,NRT,출발,부정기,화물,1 ,0 ,0 ,0 ,27493 ,769 ,1181 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,CAN,도착,정기,화물,0 ,0 ,0 ,0 ,265977 ,1082153 ,225 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,CTU,도착,정기,화물,15 ,0 ,0 ,0 ,142023 ,73032 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,CTU,출발,정기,화물,16 ,0 ,0 ,0 ,145284 ,47971 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,PVG,도착,정기,화물,41 ,0 ,0 ,0 ,947053 ,1406414 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,PVG,출발,정기,화물,42 ,0 ,0 ,0 ,1103414 ,432373 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,TAO,도착,정기,화물,25 ,0 ,0 ,0 ,121152 ,336494 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,TAO,출발,정기,화물,25 ,0 ,0 ,0 ,208753 ,40717 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,TSN,도착,정기,화물,23 ,0 ,0 ,0 ,113659 ,246816 ,61737 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,TSN,출발,정기,화물,24 ,0 ,0 ,0 ,91098 ,155569 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,YNT,도착,정기,화물,50 ,0 ,0 ,0 ,638914 ,157829 ,5336 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,YNT,도착,부정기,화물,27 ,0 ,0 ,0 ,437699 ,0 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,YNT,출발,정기,화물,50 ,0 ,0 ,0 ,286328 ,28481 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,중국,중국,YNT,출발,부정기,화물,27 ,0 ,0 ,0 ,103412 ,20928 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동북아,홍콩,HKG,도착,정기,화물,46 ,0 ,0 ,0 ,303462 ,3543333 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동북아,홍콩,HKG,도착,부정기,화물,7 ,0 ,0 ,0 ,58287 ,26460 ,0 ,0 
2026년,01월,AIH,KJ,에어제타,국제,동북아,홍콩,HKG,출발,정기,화물,46 ,0 ,0 ,0 ,738012 ,237596 ,66407 ,0 
